"BehaviorSpace results (NetLogo 6.1.1)"
"AF/e_v_rum_secfdom.nlogo"
"basic"
"03/08/2022 11:13:21:662 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","relative_size","%majority","%liberal_maj","%liberal_min","dominant_distribution","secondary_distribution","dominant","secondary","con_eth","lib_val","con_val","lib_eth","eth_con_maj","eth_con_min","val_con_maj","val_con_min","val_lib_maj","val_lib_min","eth_lib_maj","eth_lib_min","visualize","[step]","et_gl","et_sq","et_cl","et_bl","et_or","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_gl","vl_sq","vl_cl","vl_bl","vl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","den_gl","den_sq","den_cl","den_bl","den_or","den_sq_bl","den_sq_or","den_cl_bl","den_cl_or","cls_et_sq_bl","cls_et_cl_bl","cls_et_sq_or","cls_et_cl_or","cls_et_bl","cls_et_or","cls_et_sq","cls_et_cl","cls_vl_sq_bl","cls_vl_cl_bl","cls_vl_sq_or","cls_vl_cl_or","cls_vl_bl","cls_vl_or","cls_vl_sq","cls_vl_cl","cls_den_sq_bl","cls_den_cl_bl","cls_den_sq_or","cls_den_cl_or","cls_den_bl","cls_den_or","cls_den_sq","cls_den_cl"
"46","70","ethnic","50","50","50","global","by-value","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0","0","exposure","1000","0.49390447298610585","0.4999298941798941","0.48796484639858145","0.5066284695696466","0.48035443106627607","0.5089710884353742","0.5041990870422246","0.48977987421383656","0.47155181455842254","0.49780881464555005","0.4949007936507938","0.5006754289886821","0.4941036414565827","0.5017545286907481","0.4849764905962384","0.5035688349413838","0.5060422282120397","0.497750157331655","0.6992553778268064","0.7002777777777778","0.6982475355969332","0.698663101604278","0.6998861047835991","0.6966911764705882","0.7043042452830188","0.7007080610021786","0.6957599118942731","0.9869139928698776","0.9776609035374919","1.0113563917422337","0.9737169018159652","0.9823715671976132","0.9918936031015414","0.9984290785608507","0.9756997022433236","0.9769581971677559","0.9999674674137244","1.019393955276031","0.9884129630255128","0.9882536571066903","1.0033741711282733","0.9969501543209884","0.9942218540596813","0.9995001378929951","1.0052629159772017","1.01042214119202","0.9981641096729202","1.0023291380434238","1.0040837057595926","1.0046456150027578","1.0017329509584243"
"38","70","ethnic","50","50","50","global","by-value","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","exposure","1000","0.501068376068376","0.5146007614757616","0.4878048460002105","0.4965394687616916","0.5055370985603547","0.5147697540554685","0.4775147444298819","0.5144231826679866","0.49735055724417443","0.5008401019270589","0.49393634706134715","0.5076066961000731","0.49529153973598417","0.5063149290724044","0.49344583987441165","0.4972176714722587","0.49445177609149876","0.5172441742654512","0.6904960981047937","0.6908783783783784","0.690121412803532","0.6802749719416387","0.7005813953488372","0.6840659340659341","0.6980369515011547","0.6763188073394495","0.7029255319148936","1.0364724340914804","0.9614606638689204","1.0220101768619803","0.9880918047575303","0.9997663377760603","1.0043560961431646","1.0294204550595265","0.975275935632326","0.9968939602868192","0.9845568461602963","0.9989262233199897","1.0242119742077425","0.9908569437221014","1.0120871346347657","0.9978849173739353","1.0051284909531237","0.991781212098938","0.9805491738516768","1.0120368510894668","1.0191244752010247","0.9862849509588641","1.0157258691763242","1.0016581171472476","1.0005606436465924"
"8","70","ethnic","50","50","50","global","by-value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5019077478319565","0.5048620619706877","0.4988081936685289","0.5153942191283291","0.48760299625468156","0.5111767020857934","0.5198317805383021","0.4981449502878075","0.4765763546798034","0.5009496546710293","0.513253714691415","0.4880407023144455","0.4978246065375308","0.5042643124665598","0.5050841204250296","0.49018633540372647","0.5219440083725798","0.4857717569786536","0.70092693565976","0.7023429179978701","0.6994413407821229","0.7004766949152542","0.7014044943820225","0.7014462809917356","0.7032967032967034","0.6994565217391304","0.6994252873563218","0.9931123640098947","1.0099274210881808","1.0265144256492584","0.9820685780705154","1.0013061418234674","1.004790893405711","1.009297601545474","0.9963870895656282","0.9865008273264164","1.0044712169055132","1.0194305765232297","0.9954250305015089","0.9952575849602984","1.0076975287485674","1.0024572020703462","1.0000744670890418","0.9947992240237209","0.9919773244511877","0.9974235143264588","0.9919330274884367","0.9934241458421899","0.9947399617707963","0.9960708449904362","0.9919557946424764"
"17","70","ethnic","50","50","50","global","by-value","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","exposure","1000","0.5103205639797825","0.5077552589663314","0.5127302275189602","0.5036569473855679","0.5167214311792622","0.5015376984126982","0.5057142857142856","0.5139299397920091","0.5192618051404662","0.5014325618515562","0.48655736804525723","0.5154052520249706","0.5097695064342723","0.4934243467375999","0.49517195767195815","0.5239406099518457","0.47800218938149946","0.5074591552102008","0.6853351955307263","0.6888696655132641","0.6820151679306609","0.6909920182440137","0.6799014238773274","0.6947337962962963","0.6830459770114943","0.6873595505617978","0.6770397489539749","1.0236630332482688","1.0321876527121703","1.0075953912680116","1.0180488841198627","1.0279885243103406","1.0130683042835518","1.0156014135695959","1.0248655168648007","1.0223273405222617","1.0160928405350034","0.9868787992997489","0.9841298893025616","1.0191638827180072","0.9854396109332041","1.004541740254913","0.999539979550052","1.0094986615456238","0.9987833469336515","0.9925154112887691","0.9837879257146864","1.0040615862864133","0.9879461472094574","1.0009776536312849","0.9910175708310888"
"40","70","ethnic","50","50","50","global","by-value","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","exposure","1000","0.5131065379809102","0.5134342119535742","0.512791425442028","0.49009046509046467","0.5342724442402897","0.5014449514449515","0.4798437335022706","0.5237943585077348","0.5449546485260773","0.5114786897450215","0.5022616335828178","0.5203424085954206","0.5250124875124873","0.4990328178431068","0.5248946998947","0.5251187836553697","0.48270397330906883","0.5156797567511852","0.690675600223339","0.6968963553530751","0.6846933187294633","0.6877913752913752","0.6933279742765274","0.7008599508599509","0.6934713375796179","0.6759977827050998","0.6931818181818182","1.0467225035406857","1.0016318493036915","1.00548306118687","1.0461026532799589","1.0230210058007303","1.0255969428021003","1.024599750296217","1.0241351477013239","1.0707134481906697","1.0301070553414788","0.9846501323423029","1.0115908481285607","1.0493690622058376","0.9979905510917685","1.02454508627201","1.0207374083180771","1.0178317879322905","0.9817254231244916","1.0071015907563294","1.0066811329374143","0.9988528013025499","1.0068933897784744","1.0120756115429081","0.9943536136322356"
"3","70","ethnic","50","50","50","global","by-value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.4842228909302076","0.471960598398651","0.49653968253968206","0.48017255216693383","0.488166875065125","0.4649375759584573","0.4944781616350246","0.478360012080942","0.4986853471547345","0.5060388290571224","0.5110909186683514","0.5009642857142855","0.5074130551096839","0.504700687714911","0.5101811954480173","0.5048137773627973","0.5119198630826538","0.4969576719576721","0.6935975609756098","0.6910951327433629","0.6961111111111111","0.7035112359550562","0.6839442013129103","0.6975058004640371","0.6852536997885835","0.7091503267973857","0.6825396825396826","0.9424127944146711","1.0022905658309935","0.9441591485711348","0.9842761118896491","0.9732935776507295","0.963515363914093","0.9433265394545025","0.9934634833997338","1.0181049519781225","1.0118711715138695","1.0215745940277745","0.9961240446795977","1.0148900022780216","1.0092948431934816","1.0199203730948154","1.0041550793650782","1.005661079272151","1.022450110864745","0.9879960494180187","0.9840829901805511","1.0143196921946236","0.9861080197421728","0.9964182041382964","1.00365022172949"
"2","70","ethnic","50","50","50","global","by-value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5022706864221","0.5003441121400737","0.5043738260965637","0.5091261148490069","0.4952380952380955","0.5078450619148299","0.5105032467532464","0.49276302401302413","0.49798296095689454","0.4999154847740536","0.5205341328880118","0.4774071925754057","0.5066591039482606","0.4929975922953449","0.5310253699788587","0.4804653679653679","0.50993080993081","0.4742185736853979","0.6921797004991681","0.6910201912858661","0.693445475638051","0.6956462212486308","0.688623595505618","0.6931818181818182","0.6888354700854701","0.6982954545454545","0.6883886255924171","1.0028966556762724","1.0081460612224578","0.9982603733657114","1.0088351445003167","1.0054264896744334","1.0032744783306649","1.000590831955401","1.0084834082564011","1.0174694389711805","1.004964104920602","0.9770512755634964","0.9918980143326823","1.0114427719588592","0.9840909651821493","0.9973677381478111","0.9985674805260558","0.9999810921191954","1.0073580018151564","0.9937110691582405","0.9930664532256666","1.0035362293220682","0.9934054198059414","0.996862738510559","1.0003614432249421"
"39","70","ethnic","50","50","50","global","by-value","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","exposure","1000","0.4983518489542587","0.5007506577929117","0.4958999103517376","0.5075521235521236","0.48890650599862534","0.5060020876826723","0.509216848174247","0.49508526383526397","0.48290351151401456","0.5107560110572162","0.5164319248826296","0.5049543848547172","0.5083873873873875","0.5131877279213568","0.5098369619246447","0.5068305573350415","0.5235467610467607","0.5031233718870478","0.7024917853231106","0.7044962080173348","0.7004429678848284","0.7054054054054054","0.6995005549389567","0.7126826722338204","0.6956644144144144","0.6975896860986547","0.7032275711159738","0.9988754725497944","1.0052215835310017","1.0033581484608143","0.9786701576299591","1.0019353271418168","0.9908360487830137","1.001031819358565","0.9917841509321366","1.008626535725245","1.0248865976675354","1.0357490635659659","1.017390118566721","1.0164665223482292","1.026437145847146","1.0216735588685577","1.021092698499127","1.0151629958818","0.9936641695194967","0.990921764453391","1.0016949137309135","1.004797075279003","0.99638605881502","1.0035019918143964","0.9977284553496378"
"1","70","ethnic","50","50","50","global","by-value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.49988892373634347","0.49793393920068024","0.501780571839967","0.4986763784461152","0.5011041339612768","0.4995091896407688","0.49784356725146206","0.4963014069264067","0.5056003039513671","0.496737624797449","0.4873883928571426","0.50578396585416","0.49936951754385955","0.4940999476713766","0.49128811612364276","0.5074509189640769","0.48334686147186123","0.5041666666666668","0.7018386388583974","0.7017299107142857","0.7019438444924406","0.6996984649122807","0.7039835164835165","0.6981907894736842","0.7053977272727273","0.7012061403508771","0.7026595744680851","0.9979229643919731","0.9945953722940373","0.9936935861757294","1.0123118173619707","0.9962591683430053","1.0033095956894973","0.9958460375893498","1.003587520438666","0.9990256111353527","0.9984617433612883","0.982877211609074","0.9919996400288028","0.9987436772483188","0.9875887955181636","0.991095593510842","0.9951818421018171","0.9967037559939915","1.0010083265931018","1.0069920354755015","1.003083179578205","0.9988560412935467","1.0049731758362384","1.0017560360965188","1.00206143771945"
"30","70","ethnic","50","50","50","global","by-value","0","0","0","0","0","1","0","0","0","0","0","0","0","0","exposure","1000","0.5035778985507249","0.49916961402429594","0.5080732841984215","0.5020774721267062","0.5050588810038057","0.49747429370070945","0.5071019941157238","0.5009587020648969","0.5089687562788829","0.5001546325051771","0.5039020452099031","0.49633317651978404","0.5086954256538505","0.491724519181323","0.5093266447040031","0.5080064291162689","0.49817741255794346","0.48557112718505097","0.7063858695652174","0.7037136706135629","0.7091108671789242","0.7114332603938731","0.7014038876889849","0.7028301886792453","0.7046460176991151","0.7208237986270023","0.6983122362869199","1.001479978565978","1.0208617824649142","0.9954254987034685","1.0113418051329868","1.0107467710209357","1.0035727225129638","0.998534203649018","1.0159084682439097","1.0087847430090078","1.0260503068868674","0.986702302590548","0.9807364149511463","1.017039722674895","0.9836484896952136","0.9980406492854903","1.0024731556491782","0.993511587366694","1.0189471196895832","0.9960784195844555","0.9871250687947166","1.005672777328513","0.9914953868907879","0.994760465905368","1.0023898725719467"
