"BehaviorSpace results (NetLogo 6.1.1)"
"AF/e_v_rum_secfdom.nlogo"
"sens_con"
"03/08/2022 11:17:05:398 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","relative_size","%majority","%liberal_maj","%liberal_min","dominant_distribution","secondary_distribution","dominant","secondary","con_eth","lib_val","con_val","lib_eth","eth_con_maj","eth_con_min","val_con_maj","val_con_min","val_lib_maj","val_lib_min","eth_lib_maj","eth_lib_min","visualize","[step]","et_gl","et_sq","et_cl","et_bl","et_or","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_gl","vl_sq","vl_cl","vl_bl","vl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","den_gl","den_sq","den_cl","den_bl","den_or","den_sq_bl","den_sq_or","den_cl_bl","den_cl_or","cls_et_sq_bl","cls_et_cl_bl","cls_et_sq_or","cls_et_cl_or","cls_et_bl","cls_et_or","cls_et_sq","cls_et_cl","cls_vl_sq_bl","cls_vl_cl_bl","cls_vl_sq_or","cls_vl_cl_or","cls_vl_bl","cls_vl_or","cls_vl_sq","cls_vl_cl","cls_den_sq_bl","cls_den_cl_bl","cls_den_sq_or","cls_den_cl_or","cls_den_bl","cls_den_or","cls_den_sq","cls_den_cl"
"51","70","ethnic","50","50","50","by-value","by-value","0","0","0","5","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5000188551663158","0.4969909909909909","0.5031102175969723","0.47692991088513426","0.5209672619047622","0.48332814607324454","0.46980177993527494","0.5104486000408749","0.530889724310777","0.6882363267535309","0.6835920205920202","0.6929780300641225","0.6818585643212496","0.6940228174603169","0.6763409067330642","0.6880056634304215","0.690734212139792","0.6971250240987077","0.7132714363735664","0.6598648648648648","0.7677980132450332","0.7101033295063146","0.7161458333333334","0.6658496732026143","0.653969957081545","0.7594053398058253","0.7747975708502024","1.016043439104607","0.9876085637904596","0.9735743611196289","1.0125615470969125","1.002593188094928","0.9936365172371071","0.9946482063035256","1.001214274335038","1.3387894056521494","1.3904397017009946","1.3672803701923868","1.4088696679080983","1.3632210037831756","1.388681529641927","1.3531426915718738","1.4004887119728566","0.9458629164391044","1.078762036501885","0.9289873612064985","1.1006272429171908","1.0087267941266653","1.0173103836701258","0.93736128537057","1.0906841247680674"
"39","70","ethnic","50","50","50","by-value","by-value","0","0","0","3","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.49941388932352787","0.49644662848888166","0.5024468702209564","0.5067151102865388","0.49193458980044347","0.5081582633053224","0.5051817602040816","0.4839751784382655","0.49975405546834106","0.5789254420278509","0.5774957436929273","0.5803868058851447","0.5796678519892804","0.5781649245063885","0.579496798719488","0.5798495960884366","0.5753648663044639","0.5809157509157513","0.7067360350492881","0.6791711809317443","0.7349114064230343","0.7063041125541125","0.7071784922394678","0.6851365546218487","0.6728187919463087","0.7287946428571429","0.740934065934066","1.0042175203414705","0.9983353832604477","0.9797546295213659","1.011697234240788","1.0013655750900619","0.9958675842301616","0.9923703781999856","1.0050680988706922","1.1464367870658547","1.1725419296317647","1.1382624548991886","1.1746978529038323","1.1590938258856887","1.1566417299458762","1.142478036818292","1.1736282475595485","0.9759256180566422","1.038113289195744","0.9583798892948242","1.0554049865796855","1.0060772161846916","1.0073227044440614","0.9674283908014606","1.0468261599705981"
"63","70","ethnic","50","50","50","by-value","by-value","0","0","0","6","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.496126030345986","0.4909170591313445","0.5013695743784238","0.5010196630678562","0.49116722160562315","0.502595029239766","0.49944774408669373","0.479187644220684","0.5033343986364126","0.7116862235522654","0.7015724751439035","0.7218670986093543","0.7132869138893234","0.7100642143649906","0.7102835213032588","0.7162837345003649","0.6928230543318652","0.7275753701928205","0.7188533627342889","0.6396978021978021","0.7985342920353983","0.71960569550931","0.7180910099889012","0.6395285087719298","0.6398678414096917","0.7995076586433261","0.7975391498881432","0.9985842092452755","0.9923310052281078","0.9647573658338743","1.0133724740582157","0.9954541826999892","0.9888760710239753","0.9817079598949726","1.0027353598376847","1.4158838545539634","1.4373215645836916","1.381078044569231","1.4599797804532895","1.4266144498262399","1.4202224129823005","1.3985191977044467","1.4485253505280564","0.9169865773515928","1.1463723374483414","0.9174731287247012","1.1435497954019078","1.0318050793934483","1.0296332508165005","0.9172293183663084","1.1449766778302486"
"40","70","ethnic","50","50","50","by-value","by-value","0","0","0","3","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5024995438788553","0.49312799876180136","0.51206805731142","0.5071891391545819","0.49767982664764027","0.5132204169221337","0.5010791925465834","0.472639887464833","0.5234529172029169","0.586913884327677","0.5833978228344431","0.5905038453434472","0.5862079605060163","0.5876393953807939","0.5982321684038425","0.5740269151138723","0.5682713347921226","0.6075745388245388","0.7063492063492064","0.6763271939328277","0.7370022123893806","0.6976241900647948","0.7153163152053275","0.6663090128755365","0.686542669584245","0.7293478260869565","0.7449324324324325","1.0125849910547926","0.9886303291388846","0.958394089232244","1.061430055193932","1.0006852669928927","1.0091687494841726","0.9857537428067895","1.0243859468030885","1.1841496984548423","1.160118555213547","1.1248447764520133","1.2279188964960568","1.1722119815099208","1.175638238493692","1.1547863730428207","1.1934187228346005","0.9485877079853696","1.0383326194045834","0.9773932586691961","1.0605195712954334","0.9931694134419985","1.0183567246026584","0.962850044564469","1.0492297506430097"
"37","70","ethnic","50","50","50","by-value","by-value","0","0","0","3","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.4939797037849703","0.5007858699035169","0.4870757695343328","0.4889713233359632","0.498917159456375","0.4972110319181903","0.48041613041613007","0.5043919974992183","0.4934898254312573","0.5968902646083108","0.5888058927274623","0.6050907655880031","0.5971902131018151","0.5965945637514267","0.5860835657473401","0.6087221149721156","0.5915520475148486","0.6015933271356265","0.7112116228070176","0.6693899782135077","0.7535871964679912","0.7091611479028698","0.7132352941176471","0.6778741865509761","0.6608315098468271","0.7415730337078652","0.7651843817787418","1.0010076404180817","0.9671953883874431","1.0021906355540031","0.9805288034712564","0.9844190880406174","0.991312525978681","1.0015965606545905","0.9739873268997506","1.164505908413015","1.2255067745134005","1.1753713885262347","1.2111547778094767","1.1944334051517693","1.1933410426216335","1.169914976399667","1.2181959784023375","0.9666396706245004","1.0574733885274985","0.9423370378901301","1.091142860200936","1.0112544658417566","1.017064144736842","0.9545413011695906","1.0746054265423493"
"35","70","ethnic","50","50","50","by-value","by-value","0","0","0","3","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.48811007871983497","0.4755176536426531","0.5010765362250513","0.49918352857650045","0.47663329128560933","0.49371886830045825","0.5048497056089251","0.4565216261176962","0.4971938775510208","0.5788708220415535","0.5743208180708186","0.5835559746450837","0.5794804503270953","0.5782389887522335","0.5819037656903765","0.5769677719243888","0.5664067373674361","0.5903353528911568","0.7094850948509485","0.6762820512820513","0.7436743674367436","0.7136581469648562","0.7051600441501104","0.6864539748953975","0.6656659388646288","0.7418655097613883","0.7455357142857143","0.9700865942644805","0.9919570892954922","0.9296715233853755","1.012497465873768","0.9808238660528675","0.9706273978167226","0.9503108437702165","1.0020803992042584","1.1470218458319896","1.1710732004405884","1.1164748188492715","1.1982054192345244","1.1588298058687945","1.156889067163389","1.1320746894665081","1.1844452950717015","0.9677326768037555","1.0458494259562987","0.938426616253062","1.0510235191637631","1.0060839242577728","0.9941036719969849","0.9533927454659162","1.0483994740937508"
"56","70","ethnic","50","50","50","by-value","by-value","0","0","0","5","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5002829116099519","0.49369912210694267","0.5067867654788184","0.5047395669084409","0.4957714817770686","0.4975293542074363","0.5114875864875864","0.49002813379181015","0.5017639704283534","0.6692300573755313","0.6507555200851295","0.6874802901292965","0.6581414905918217","0.6804549082202718","0.6401201348119159","0.675007631257631","0.6609487339793687","0.7008072407045014","0.7104386451971128","0.6266759776536313","0.7931843267108167","0.7091611479028698","0.711731843575419","0.6292808219178082","0.6241794310722101","0.7839209401709402","0.803082191780822","0.9890180650414948","1.0167650587904453","0.9860789597307831","1.0096948723368335","1.0033509492296855","0.9976362443357598","0.987517315178926","1.0133470216307505","1.2881076679287842","1.341819805623614","1.3300208602199388","1.393105784226055","1.3158530105790935","1.3608937057112012","1.309509152707628","1.3666136893188294","0.9088058955070624","1.132136793661641","0.9014384787444856","1.15980942855187","1.024168876010752","1.0278814687060882","0.9050439854953332","1.1455149548999637"
"3","70","ethnic","50","50","50","by-value","by-value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.4946826712995874","0.4934094809094803","0.49591024249004745","0.4900940623162839","0.49913632119514456","0.4860112237114525","0.4940240192993496","0.5005780804561296","0.4977439583970633","0.5101891336965966","0.5019144144144143","0.5181673646657358","0.5086125808348025","0.5117193173565726","0.498054919908467","0.5187749108453956","0.5056541019955655","0.5175767309064963","0.6939226519337016","0.6950224971878515","0.6928610206297503","0.6975896860986547","0.690359477124183","0.6980593607305936","0.6920731707317073","0.697136563876652","0.6887044967880086","0.9861886938539569","1.00244784185182","0.9869785682196016","0.9813905933536888","0.9944733775700412","0.9841358838379253","0.9865898575238974","0.9917706050997822","1.014037575966619","1.0195250690881297","1.029509476503906","1.0171703397836684","1.016833672349516","1.023232377540557","1.0218954894151717","1.0183310858251677","1.003122871414516","1.0017967970404265","0.9945206171674975","0.9896797768760278","1.0024479411837572","0.9920580110497237","0.9987588481688406","0.995652770529271"
"50","70","ethnic","50","50","50","by-value","by-value","0","0","0","4","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.49897828863346133","0.48827050639055186","0.5089941485068606","0.5058947152596239","0.4918230989500477","0.49782236490101706","0.5133166076347894","0.47856599260708876","0.5044461697722566","0.615829358563348","0.5945855578924667","0.6357004136400315","0.6177277154133987","0.6138654682362922","0.6019020866773678","0.6322781385281384","0.5871520982822359","0.6393012422360252","0.7086754241926656","0.6684597961494904","0.746292372881356","0.7057319698600646","0.7117204899777283","0.6575842696629214","0.6795091324200914","0.75","0.7423913043478261","0.9790327886697077","1.0095042434324668","0.973652637520213","1.0263064055388809","0.9949081213986392","1.0006245008705383","0.9763640387223975","1.0176917376792392","1.2453851782101362","1.223699321070876","1.214866232799145","1.2372917050478975","1.2340870567296187","1.226353668472225","1.2302466752769403","1.2303227285173046","0.9361667681408092","1.0677339901477834","0.9673799964010168","1.0569019061897622","1.0047120162047225","1.0132375448451403","0.9516496605280922","1.06245564415129"
"19","70","ethnic","50","50","50","by-value","by-value","0","0","0","1","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.4824557936068726","0.47498677248677224","0.48986717068304686","0.48015435501653825","0.48477513227513175","0.47233442233442224","0.4889839034205234","0.47803159449937505","0.49064944064944094","0.5431970906791043","0.5375052910052912","0.5488449624612802","0.5397319787893108","0.5466891534391533","0.5281457281457284","0.5528141068634033","0.5482498011137624","0.5453296703296706","0.695213060320974","0.6840277777777778","0.7063120176405733","0.688257993384785","0.7022222222222222","0.6738565488565489","0.6957040572792362","0.704518779342723","0.7079002079002079","0.9410234852902977","0.9741939509160794","0.9597812125115213","0.9851150436150412","0.9566029983626007","0.9733207378012929","0.9497562494077317","0.9799856219063772","1.0603992563992535","1.1013617321964355","1.100763767347297","1.086450622145218","1.0796385228706962","1.0931141864115173","1.0791911787184005","1.0934540762596787","0.9699506826651266","1.0140859684949766","1.0013980370687845","1.0189532046200558","0.9906801553922666","1.0107802988378527","0.984591173215274","1.016667159868916"
