"BehaviorSpace results (NetLogo 6.1.1)"
"AF/e_v_rum_secfdom.nlogo"
"sens_lib"
"03/08/2022 11:14:30:198 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","relative_size","%majority","%liberal_maj","%liberal_min","dominant_distribution","secondary_distribution","dominant","secondary","con_eth","lib_val","con_val","lib_eth","eth_con_maj","eth_con_min","val_con_maj","val_con_min","val_lib_maj","val_lib_min","eth_lib_maj","eth_lib_min","visualize","[step]","et_gl","et_sq","et_cl","et_bl","et_or","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_gl","vl_sq","vl_cl","vl_bl","vl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","den_gl","den_sq","den_cl","den_bl","den_or","den_sq_bl","den_sq_or","den_cl_bl","den_cl_or","cls_et_sq_bl","cls_et_cl_bl","cls_et_sq_or","cls_et_cl_or","cls_et_bl","cls_et_or","cls_et_sq","cls_et_cl","cls_vl_sq_bl","cls_vl_cl_bl","cls_vl_sq_or","cls_vl_cl_or","cls_vl_bl","cls_vl_or","cls_vl_sq","cls_vl_cl","cls_den_sq_bl","cls_den_cl_bl","cls_den_sq_or","cls_den_cl_or","cls_den_bl","cls_den_or","cls_den_sq","cls_den_cl"
"13","70","ethnic","50","50","50","by-value","by-value","0","0","0","20","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5019230769230772","0.49906832298136633","0.5047778308647874","0.4955253594142482","0.5082357749301272","0.501203587161737","0.48962623951182294","0.49688003869719444","0.5191718426501034","0.9323598502946326","0.9266005733397034","0.9381191272495618","0.930825450269894","0.9338738596213675","0.9284901405496121","0.933251607279067","0.9246640868537035","0.942743271221532","0.7562709030100334","0.5557413600891862","0.9568004459308808","0.7498597081930415","0.7625968992248062","0.5487334801762115","0.5629232505643341","0.9588100686498856","0.9548913043478261","1.0091573909855838","0.9858467718116807","0.9871570204017363","1.0314443917101739","0.9977244610428226","1.0097175860738086","0.9982921020573277","1.0092301666314178","1.8569802810992242","1.866503214558134","1.849328173707407","1.885486542443064","1.861650900539788","1.867747719242735","1.8532011466794067","1.8762382544991236","0.7955717848039723","1.390114263410453","0.8161445789954477","1.384432710484223","1.087171182279878","1.1056379793108813","0.8057320387915125","1.387200646525207"
"26","70","ethnic","50","50","50","by-value","by-value","0","0","1","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5243627335991862","0.5318185168804366","0.5159423909423918","0.5149300031816735","0.533480701214824","0.5213102951763859","0.5081390257252326","0.5414337474120086","0.5239671282224473","0.5116571532827691","0.5396186544793354","0.48007825507825547","0.5139821296001694","0.5094097595981347","0.5372338784325825","0.48923371647509584","0.5418007716920762","0.4706630642800853","0.7001915708812261","0.6977554179566563","0.7029428904428905","0.6978006681514477","0.702502691065662","0.6887149028077754","0.7060276679841897","0.707471264367816","0.6982860520094563","1.060616825486924","1.0338195991091337","1.0648002761267377","1.0304498851048571","1.0476359864286444","1.049159570634538","1.0628013724670584","1.0321583065405933","1.0129270339487426","1.0417599067599064","1.0215376778962075","1.0022161054075955","1.0268939600877807","1.012740018948218","1.017423407361971","1.0222645361631377","0.9804857483322517","1.0071881546911272","1.0051329854553244","0.9941116701021323","0.9934206556441793","1.0001146685614597","0.9933562354161265","1.0007413563448047"
"37","70","ethnic","50","50","50","by-value","by-value","0","0","1","20","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5467722346786247","0.5896188850967015","0.5051565377532227","0.5445589735330437","0.5489608217869092","0.5934374661026146","0.4966624149659862","0.5858089826839825","0.5134833802229862","0.9274396754217377","0.9209030825071781","0.9337884767166537","0.9283231330863799","0.9265660667834574","0.9270094370322157","0.92961043792517","0.9148106060606062","0.9378842346566633","0.7525210084033613","0.5526988636363637","0.9468232044198895","0.7494363021420518","0.7555679287305123","0.5466970387243736","0.5586734693877551","0.9481026785714286","0.9455689277899344","1.1942343596315268","0.9994841157996434","1.1644421315043523","1.0206768749421307","1.0958712150580319","1.0911971791644044","1.1793212989080242","1.0101858737312608","1.8803543694346685","1.8335410294988066","1.8556101497933908","1.8498600650410335","1.8567102022517337","1.8526806194346082","1.8679681844037432","1.8417816916455694","0.796615684998373","1.3815210459183673","0.8140670553935859","1.377829009065333","1.092035754549847","1.1009704104358893","0.8053612012987014","1.3796566692975534"
"50","70","ethnic","50","50","50","by-value","by-value","0","0","2","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5500916265382553","0.5851093108999327","0.5128828008607845","0.5521410011666136","0.548005075045891","0.5885770368104415","0.5126615843553195","0.5815105820105821","0.5131035052910051","0.5203945960406632","0.5372760554603514","0.5024568228218286","0.529748647788737","0.5108708562790197","0.547234118486796","0.5108026737377087","0.5269417989417988","0.4941302910052908","0.6862359550561797","0.6932933478735005","0.6787369640787949","0.6799832962138085","0.6926020408163265","0.6911134903640257","0.6955555555555556","0.66792343387471","0.6895254629629629","1.1666671776420765","1.0161888865840396","1.1735701088195407","1.0355150106779916","1.09444430075342","1.1059512852400049","1.1700546575001547","1.0258631456901657","1.0622428908467738","1.0535675078251687","1.0228532193199558","1.0191795109958488","1.0580790934277209","1.021053851977537","1.04291317199501","1.0363535858897535","1.0098798811442868","0.9759937368023149","1.0163707865168539","1.0075593984082396","0.9936160412652336","1.012055004586104","1.0130651673140307","0.9917948559376099"
"22","70","ethnic","50","50","50","by-value","by-value","0","0","1","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5169741363718571","0.5313466379000357","0.5024290393013101","0.4987012987012978","0.5340761304521812","0.5099675324675327","0.4877098511244854","0.5506624621101016","0.516705069124424","0.5006233366922461","0.5052601839009613","0.49593080682054463","0.5069250708139597","0.49472539015606276","0.5070562770562771","0.5067970647238937","0.5036374303314753","0.4853917050691246","0.7107976125881714","0.7111650485436893","0.7104257641921398","0.7142255892255892","0.7075892857142857","0.7113636363636363","0.7109856262833676","0.7170177383592018","0.7040322580645161","1.0548486670456354","1.0088094900363929","1.0660408799043257","1.000301935290246","1.031544886090344","1.033930996243036","1.06072850271142","1.0044906985986655","1.008095705085998","1.0196801203997121","1.0012985804756307","0.9766123498279434","1.0139594214793572","0.9892407052117901","1.0045248316391258","0.9978171145963568","1.003937503082918","1.0119170577711796","1.0034040227688763","0.993590831918506","1.0079765369374702","0.9986108150530967","1.0036572388834162","1.0026138972673662"
"38","70","ethnic","50","50","50","by-value","by-value","0","0","1","20","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5346934098171715","0.5711260194685611","0.4985800344234081","0.5420751253813149","0.5271141901576682","0.5754290947148087","0.5095084815041898","0.5667751322751323","0.48718706722062416","0.9293873434962546","0.92284135753749","0.9358759714181399","0.9254705030763661","0.9334089823220254","0.9160491889063322","0.9346694257101981","0.9297089947089949","0.9371338020666875","0.7553630363036303","0.5522099447513812","0.9567360350492881","0.7601791530944625","0.7504180602006689","0.5612637362637363","0.5430555555555555","0.9543991416309013","0.95917225950783","1.135863294453331","1.0057398690278088","1.1487148165843868","0.987409239918723","1.0700245145963327","1.0683317700185526","1.1422535540765049","0.9967652893873243","1.8401960502007737","1.8611489769344505","1.8676364114706545","1.8660561359882257","1.850797639623008","1.866848916330563","1.853840428732747","1.8635514962082895","0.8029961375258404","1.3654522372838143","0.7769458195819581","1.372281103949321","1.0875830457638596","1.0736179178118481","0.7900429407581642","1.368795614501209"
"51","70","ethnic","50","50","50","by-value","by-value","0","0","2","20","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5780821646462244","0.6622581643708412","0.4897930194805193","0.5817249380372307","0.5744272486772489","0.6675601694039874","0.4921999569058394","0.6569676355390648","0.487364100891498","0.9449455933232971","0.941861424960016","0.9481804653679652","0.9519379844961243","0.937929894179894","0.9512498708811072","0.9526556776556773","0.9324933003504433","0.9436643835616435","0.7545731707317073","0.5604707792207793","0.9583806818181818","0.7632743362831859","0.7458333333333333","0.5746753246753247","0.5462662337662337","0.9604072398190046","0.9563356164383562","1.332166532748667","0.982222037896169","1.3168551272360767","0.9768942644536235","1.16087587192386","1.1514075073486143","1.3245025356231936","0.9795702597509038","1.8572021288631215","1.9529441391941298","1.8205821578270636","1.9345119863013607","1.9040658814282372","1.876028007684548","1.8388723058743244","1.9437699540043067","0.828564589512483","1.3847113252601058","0.787604475624154","1.3788408749202685","1.1004858917253695","1.0753395232815965","0.8080845325683186","1.3817894420227776"
"28","70","ethnic","50","50","50","by-value","by-value","0","0","1","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5270831721968694","0.535531233998976","0.5185153450693253","0.5330357142857142","0.5211241809833359","0.5427083333333332","0.5225788288288293","0.5278756613756616","0.5147009966777409","0.49397478536623096","0.4946799795186888","0.49325959391390123","0.48906926406926404","0.498885621420833","0.49275545634920703","0.4850841913341912","0.49673280423280447","0.5009337561663147","0.7134542501353547","0.7084677419354839","0.7185114503816794","0.7180735930735931","0.7088299024918743","0.7140625","0.7025","0.7224099099099099","0.7148520084566596","1.0848293199855736","1.0445920961545994","1.0563232357105612","1.0299596325718188","1.0654945500927702","1.0428129602125922","1.0710360534008903","1.0370444895301116","0.9786229332010596","0.9770452577908959","0.986522031632248","1.0089690813949639","0.9778648294325399","0.998025232648246","0.9824450776032473","0.993511962877837","1.0055639212236058","1.01731899062029","0.9892812669193286","1.0066757303712894","1.0112124610635709","0.9981952227294884","0.9976852175279879","1.0118290646685155"
"63","70","ethnic","50","50","50","by-value","by-value","0","0","3","0","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5721474739480261","0.6230865522174539","0.5177657775595924","0.5679356211758453","0.5762899005756151","0.6138260510277866","0.5191902567478605","0.6321504397937527","0.5163575225078646","0.5051688431605327","0.5166883813611283","0.4928707794687175","0.5032322426177172","0.507073521716379","0.5109906001446132","0.4949912222953692","0.5222651905772927","0.4907744874715267","0.6937673130193905","0.6938036480686696","0.6937285223367697","0.6868715083798883","0.7005494505494505","0.6908893709327549","0.696656050955414","0.6826036866359447","0.7047266514806378","1.2379396895029655","1.047082026178647","1.2538808173931026","1.0242036572820834","1.145389716449602","1.1430805170758072","1.2459957745204022","1.0355773252100406","0.9896330828980995","1.0234354596141406","1.0114685289613885","1.0147170101788165","1.0060244030039753","1.0130356534168277","1.000667948880723","1.0190512679736972","0.9955696696931277","0.9836300215734582","1.0038794396315966","1.01550915263221","0.98977994088426","1.0094898176615628","0.9997691349731909","0.9996608790016277"
"54","70","ethnic","50","50","50","by-value","by-value","0","0","2","20","0","0","0","0","0","0","0","0","0","0","exposure","1000","0.5877565963233173","0.671047008547009","0.49966639763249937","0.5719483761246434","0.602154849347924","0.6682610544217692","0.4692148526077099","0.6736046057767372","0.5271710189452128","0.9297259485892109","0.925749135124135","0.9339319343556632","0.9260684112354617","0.9330572627791932","0.9261851615646259","0.92594387755102","0.925348848555816","0.941146953405018","0.7450576606260296","0.5595619658119658","0.9412429378531073","0.747839861751152","0.7425236096537251","0.5689174107142857","0.5509733606557377","0.9386904761904762","0.9435483870967742","1.401962419472392","0.9843781642841458","1.287129052591227","1.007322587092583","1.1999055218006616","1.150602288208365","1.3420920316112757","0.9964337084716316","1.8019051059927154","1.90524723279142","1.800278048312115","1.9365294939554083","1.8519093608953479","1.8667596036365306","1.8010568109626965","1.9216836750979556","0.8126052637385267","1.3407654742292303","0.786975129635131","1.3477042036456397","1.0681666559114478","1.0605732612352219","0.7992425442487222","1.3444112473124283"
